Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01/01/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/02/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/03/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/04/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/05/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/06/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/07/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/08/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/09/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/10/2016,"2,105",0,0,0,"1,440",0,0,0,0
01/11/2016,"3,899","6,778",3.46,2,"1,117",177,24,24,"1,496"
01/12/2016,"3,766","13,807",7.06,43,552,232,41,44,"2,010"
01/13/2016,"4,091","15,775",8.62,58,720,244,18,72,"2,375"
01/14/2016,"3,406","9,493",5.14,27,688,183,26,31,"1,590"
01/15/2016,"3,341","6,942",3.55,8,649,267,14,8,"1,569"
01/16/2016,"3,306","7,299",3.73,12,512,320,0,0,"1,570"
01/17/2016,"4,044","12,293",6.65,23,543,304,31,40,"2,405"
01/18/2016,"3,363","8,662",4.43,13,575,371,0,0,"1,737"
01/19/2016,"3,710","11,489",6.24,28,765,265,8,33,"1,967"
01/20/2016,"4,612","18,307",9.97,53,556,283,60,82,"3,035"
01/21/2016,"3,734","12,625",6.78,26,648,261,41,30,"2,018"
01/22/2016,"3,315","7,531",3.85,7,727,332,10,0,"1,618"
01/23/2016,"3,499","9,766",4.99,19,557,264,29,31,"1,821"
01/24/2016,"3,700","12,840",7.07,43,551,252,8,52,"1,985"
01/25/2016,"3,264","7,480",3.83,16,732,297,0,0,"1,508"
01/26/2016,"3,484","11,033",5.64,33,668,274,19,27,"1,781"
01/27/2016,"3,981","13,642",7.57,40,665,219,44,65,"2,277"
01/28/2016,"3,724","12,753",6.89,22,631,278,24,30,"2,038"
01/29/2016,"2,974","6,356",3.25,15,864,244,0,0,"1,144"
01/30/2016,"3,518","9,628",4.92,14,517,345,17,13,"1,902"
01/31/2016,"3,826","12,099",6.74,72,540,235,26,52,"2,089"
02/01/2016,"3,818","13,257",6.78,31,728,270,26,43,"2,112"
02/02/2016,"3,292","7,228",4.07,20,731,214,2,22,"1,440"
02/03/2016,"3,529","8,926",4.93,17,710,258,0,24,"1,733"
02/04/2016,"3,582","10,347",5.53,23,633,292,1,26,"1,851"
02/05/2016,"4,009","13,879",7.73,46,608,305,2,53,"2,331"
02/06/2016,"3,653","12,068",6.17,16,476,401,27,3,"2,118"
02/07/2016,"4,238","15,988",8.73,57,462,301,38,61,"2,658"
02/08/2016,"3,484","12,063",6.17,39,625,313,8,6,"1,765"
02/09/2016,"3,965","12,332",6.69,32,625,304,12,46,"2,282"
02/10/2016,"3,160","8,018",4.1,14,749,266,0,0,"1,342"
02/11/2016,"4,264","15,580",8.48,33,545,246,67,73,"2,634"
02/12/2016,"3,740","12,595",6.97,31,721,213,21,55,"1,992"
02/13/2016,"3,406","9,100",4.65,9,530,363,18,0,"1,780"
02/14/2016,"4,166","14,320",7.91,34,545,243,4,78,"2,450"
02/15/2016,"4,455","20,571",10.84,37,449,318,66,50,"2,888"
02/16/2016,"3,507","11,447",5.85,38,660,277,21,11,"1,790"
02/17/2016,"2,794","5,553",2.84,14,808,195,0,0,927
02/18/2016,"3,959","13,841",7.61,38,559,358,1,32,"2,330"
02/19/2016,"3,647","12,199",6.82,49,760,214,12,46,"1,867"
02/20/2016,"3,725","13,255",6.78,25,558,373,19,26,"2,183"
02/21/2016,"3,899","12,330",6.66,33,468,332,2,41,"2,257"
02/22/2016,"3,913","14,894",8.14,42,570,329,15,34,"2,299"
02/23/2016,"3,197","10,075",5.15,19,727,270,12,0,"1,456"
02/24/2016,"4,113","16,058",8.83,42,657,229,25,81,"2,413"
02/25/2016,"3,610","11,677",6.29,22,696,254,12,29,"1,855"
02/26/2016,"3,413","8,916",4.86,21,730,242,0,28,"1,618"
02/27/2016,"3,273","10,172",5.2,14,633,295,23,5,"1,587"
02/28/2016,"4,107","16,632",9.06,40,457,356,17,40,"2,536"
02/29/2016,"3,427","11,505",5.88,32,740,292,15,5,"1,697"
03/01/2016,"3,894","13,774",7.45,25,571,330,19,30,"2,258"
03/02/2016,"2,881","5,962",3.05,6,748,232,0,0,"1,055"
03/03/2016,"3,573","11,065",6.16,23,667,238,14,36,"1,823"
03/04/2016,"3,062","8,022",4.1,9,738,262,9,5,"1,313"
03/05/2016,"3,449","8,846",4.52,22,540,424,0,0,"1,898"
03/06/2016,"3,662","12,982",6.99,50,597,235,11,62,"1,941"
03/07/2016,"3,923","11,581",6.32,32,671,265,10,52,"2,064"
03/08/2016,"3,001","5,758",2.94,5,866,190,5,9,"1,058"
03/09/2016,"2,460",0,0,0,"1,397",27,0,16,441
